"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","test_student_stats_avg","tests.scenarios","2026-07-02","passed","2026-07-02","TestGradeStats","test_academic_year","",""
"","50","test_delete_student","tests.contracts","2026-07-02","passed","2026-07-02","TestStudentContract","test_student_contract","",""
"","94","test_group_not_found_negative","tests.contracts","2026-07-02","passed","2026-07-02","TestGroupContract","test_group_contract","",""
"","48","test_delete_group_status","tests.contracts","2026-07-02","passed","2026-07-02","TestGroupContract","test_group_contract","",""
"","48","test_student_stats_count","tests.scenarios","2026-07-02","passed","2026-07-02","TestGradeStats","test_academic_year","",""
"","49","test_get_student","tests.contracts","2026-07-02","passed","2026-07-02","TestStudentContract","test_student_contract","",""
"","54","test_update_group_status","tests.contracts","2026-07-02","passed","2026-07-02","TestGroupContract","test_group_contract","",""
"","50","test_student_stats_max","tests.scenarios","2026-07-02","passed","2026-07-02","TestGradeStats","test_academic_year","",""
"","48","test_get_students_list","tests.contracts","2026-07-02","passed","2026-07-02","TestStudentContract","test_student_contract","",""
"","47","test_get_group_status","tests.contracts","2026-07-02","passed","2026-07-02","TestGroupContract","test_group_contract","",""
"","49","test_delete_group_with_active_student_contract","tests.contracts","2026-07-02","skipped","2026-07-02","TestGroupContract","test_group_contract","",""
"","48","test_get_groups_list_status","tests.contracts","2026-07-02","passed","2026-07-02","TestGroupContract","test_group_contract","",""
"","53","test_update_student","tests.contracts","2026-07-02","passed","2026-07-02","TestStudentContract","test_student_contract","",""
"","97","test_get_non_existent_student_negative","tests.contracts","2026-07-02","passed","2026-07-02","TestStudentContract","test_student_contract","",""
"","47","test_student_stats_min","tests.scenarios","2026-07-02","passed","2026-07-02","TestGradeStats","test_academic_year","",""
"","46","test_create_student_without_lastname_negative","tests.contracts","2026-07-02","passed","2026-07-02","TestStudentContract","test_student_contract","",""
"","40","test_create_group_status","tests.contracts","2026-07-02","passed","2026-07-02","TestGroupContract","test_group_contract","",""
"","53","test_create_student","tests.contracts","2026-07-02","passed","2026-07-02","TestStudentContract","test_student_contract","",""
"","196","test_student_grade_count","tests.scenarios","2026-07-02","passed","2026-07-02","TestStudentLifecycle","test_student_lifecycle","",""
